"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Mar 01 15:20:07 IST 2026","Sun Mar 01 15:20:37 IST 2026","30056","","Integration Popo","","","","TC_POPO_006: Equipment Reset and Configuration","Test equipment reset and basic configuration"
"failed","Sun Mar 01 15:19:37 IST 2026","Sun Mar 01 15:20:07 IST 2026","30059","","Integration Popo","","","","TC_POPO_005: Mock Equipment Initialization and IDN Query","Test equipment initialization and identification"
"failed","Sun Mar 01 15:21:07 IST 2026","Sun Mar 01 15:21:37 IST 2026","30044","","Integration Popo","","","","TC_POPO_008: Spectrum Analyzer Sweep Operation","Test spectrum analyzer sweep with mock data"
"failed","Sun Mar 01 15:20:37 IST 2026","Sun Mar 01 15:21:07 IST 2026","30046","","Integration Popo","","","","TC_POPO_007: Signal Generator Output Control","Test signal generator output enable/disable"
"failed","Sun Mar 01 15:23:07 IST 2026","Sun Mar 01 15:23:38 IST 2026","30052","","Integration Popo","","","","TC_POPO_012: Complete Test Execution to Elasticsearch to Allure","Validate complete data flow from test to reporting"
"failed","Sun Mar 01 15:22:07 IST 2026","Sun Mar 01 15:22:37 IST 2026","30044","","Integration Popo","","","","TC_POPO_010: Validate Noise Floor Modeling","Verify realistic noise floor simulation"
"passed","Sun Mar 01 15:19:37 IST 2026","Sun Mar 01 15:19:37 IST 2026","57","","Integration Popo","","","","TC_POPO_002: Validate Elasticsearch Availability","Confirm Elasticsearch is running and accessible"
"passed","Sun Mar 01 15:19:37 IST 2026","Sun Mar 01 15:19:37 IST 2026","2","","Integration Popo","","","","TC_POPO_003: Confirm Allure Listener Active","Verify Allure listener is loaded and active"
"failed","Sun Mar 01 15:21:37 IST 2026","Sun Mar 01 15:22:07 IST 2026","30041","","Integration Popo","","","","TC_POPO_009: Verify Harmonic Generation Accuracy","Validate RF physics harmonic simulation"
"failed","Sun Mar 01 15:22:37 IST 2026","Sun Mar 01 15:23:07 IST 2026","30036","","Integration Popo","","","","TC_POPO_011: Test Frequency Sweep With Realistic Spectrum","Verify complete spectrum sweep with signal present"
"passed","Sun Mar 01 15:19:37 IST 2026","Sun Mar 01 15:19:37 IST 2026","5","","Integration Popo","","","","TC_POPO_004: Verify Jenkins Pipeline Configuration","Validate Jenkins is accessible (if running)"
"failed","Sun Mar 01 15:19:07 IST 2026","Sun Mar 01 15:19:37 IST 2026","30025","","Integration Popo","","","","TC_POPO_001: Verify Mock Equipment Connectivity","Verify all mock equipment is accessible"
